store_id,store_name,region,product_category,units_sold,price_per_unit,revenue,sale_date
S001,Alpha Mart,North,Electronics,25,300,7500,1/5/2024
S002,Beta Shop,North,Clothing,45,50,2250,1/5/2024
S003,Gamma Store,South,Food,70,15,1050,1/5/2024
S004,Delta Depot,South,Home,30,90,2700,1/5/2024
S005,Epsilon Outlet,East,Sports,50,80,4000,1/5/2024
S006,Zeta Market,East,Electronics,30,300,9000,1/12/2024
S007,Eta Traders,West,Clothing,50,50,2500,1/12/2024
S008,Theta Plaza,West,Food,65,15,975,1/12/2024
S009,Iota Hub,Central,Home,35,90,3150,1/12/2024
S010,Kappa Corner,Central,Sports,45,80,3600,1/12/2024
S001,Alpha Mart,North,Clothing,40,50,2000,1/19/2024
S002,Beta Shop,North,Food,60,15,900,1/19/2024
S003,Gamma Store,South,Home,28,90,2520,1/19/2024
S004,Delta Depot,South,Sports,55,80,4400,1/19/2024
S005,Epsilon Outlet,East,Electronics,28,300,8400,1/19/2024
S006,Zeta Market,East,Clothing,42,50,2100,1/26/2024
S007,Eta Traders,West,Food,75,15,1125,1/26/2024
S008,Theta Plaza,West,Home,40,90,3600,1/26/2024
S009,Iota Hub,Central,Sports,55,80,4400,1/26/2024
S010,Kappa Corner,Central,Electronics,32,300,9600,1/26/2024
S001,Alpha Mart,North,Food,65,15,975,2/2/2024
S002,Beta Shop,North,Home,35,90,3150,2/2/2024
S003,Gamma Store,South,Sports,48,80,3840,2/2/2024
S004,Delta Depot,South,Electronics,35,300,10500,2/2/2024
S005,Epsilon Outlet,East,Clothing,48,50,2400,2/2/2024
S006,Zeta Market,East,Food,80,15,1200,2/9/2024
S007,Eta Traders,West,Home,38,90,3420,2/9/2024
S008,Theta Plaza,West,Sports,42,80,3360,2/9/2024
S009,Iota Hub,Central,Electronics,27,300,8100,2/9/2024
S010,Kappa Corner,Central,Clothing,53,50,2650,2/9/2024
S001,Alpha Mart,North,Home,30,90,2700,2/16/2024
S002,Beta Shop,North,Sports,45,80,3600,2/16/2024
S003,Gamma Store,South,Electronics,22,300,6600,2/16/2024
S004,Delta Depot,South,Clothing,42,50,2100,2/16/2024
S005,Epsilon Outlet,East,Food,72,15,1080,2/16/2024
S006,Zeta Market,East,Home,25,90,2250,2/23/2024
S007,Eta Traders,West,Sports,52,80,4160,2/23/2024
S008,Theta Plaza,West,Electronics,38,300,11400,2/23/2024
S009,Iota Hub,Central,Clothing,47,50,2350,2/23/2024
S010,Kappa Corner,Central,Food,63,15,945,2/23/2024
S001,Alpha Mart,North,Sports,50,80,4000,3/2/2024
S002,Beta Shop,North,Electronics,20,300,6000,3/2/2024
S003,Gamma Store,South,Clothing,55,50,2750,3/2/2024
S004,Delta Depot,South,Food,60,15,900,3/2/2024
S005,Epsilon Outlet,East,Home,32,90,2880,3/2/2024
S006,Zeta Market,East,Sports,58,80,4640,3/9/2024
S007,Eta Traders,West,Electronics,33,300,9900,3/9/2024
S008,Theta Plaza,West,Clothing,58,50,2900,3/9/2024
S009,Iota Hub,Central,Food,73,15,1095,3/9/2024
S010,Kappa Corner,Central,Home,37,90,3330,3/9/2024
